Date;Symbol;Indexvalue
26.08.1999;V2TX;22.7808
27.08.1999;V2TX;22.3076
30.08.1999;V2TX;23.234
31.08.1999;V2TX;24.9551
01.09.1999;V2TX;24.472
02.09.1999;V2TX;25.845
03.09.1999;V2TX;23.0423
06.09.1999;V2TX;22.9409
07.09.1999;V2TX;23.0444
08.09.1999;V2TX;23.0891
09.09.1999;V2TX;22.2243
10.09.1999;V2TX;21.6421
13.09.1999;V2TX;22.717
14.09.1999;V2TX;23.6243
15.09.1999;V2TX;24.7157
16.09.1999;V2TX;25.1277
17.09.1999;V2TX;23.8429
20.09.1999;V2TX;23.8031
21.09.1999;V2TX;25.3996
22.09.1999;V2TX;25.8222
23.09.1999;V2TX;25.0303
24.09.1999;V2TX;27.1255
27.09.1999;V2TX;26.3027
28.09.1999;V2TX;26.9086
29.09.1999;V2TX;27.8488
30.09.1999;V2TX;27.8471
01.10.1999;V2TX;27.8705
04.10.1999;V2TX;26.5893
05.10.1999;V2TX;26.3157
06.10.1999;V2TX;25.2768
07.10.1999;V2TX;23.4953
08.10.1999;V2TX;23.1659
11.10.1999;V2TX;22.6819
12.10.1999;V2TX;23.4701
13.10.1999;V2TX;24.7145
14.10.1999;V2TX;24.0129
15.10.1999;V2TX;27.1818
18.10.1999;V2TX;29.4296
19.10.1999;V2TX;25.9996
20.10.1999;V2TX;25.4943
21.10.1999;V2TX;25.9541
22.10.1999;V2TX;23.4008
25.10.1999;V2TX;25.2749
26.10.1999;V2TX;24.3652
27.10.1999;V2TX;24.7645
28.10.1999;V2TX;22.0081
29.10.1999;V2TX;21.9392
01.11.1999;V2TX;21.8553
02.11.1999;V2TX;22.0428
03.11.1999;V2TX;22.3514
04.11.1999;V2TX;21.8141
05.11.1999;V2TX;20.8933
08.11.1999;V2TX;21.332
09.11.1999;V2TX;21.2722
10.11.1999;V2TX;21.2203
11.11.1999;V2TX;20.9458
12.11.1999;V2TX;20.78
15.11.1999;V2TX;21.6098
16.11.1999;V2TX;21.1132
17.11.1999;V2TX;21.2685
18.11.1999;V2TX;20.5132
19.11.1999;V2TX;20.1544
22.11.1999;V2TX;22.501
23.11.1999;V2TX;22.816
24.11.1999;V2TX;22.801
25.11.1999;V2TX;21.7842
26.11.1999;V2TX;22.0031
29.11.1999;V2TX;23.0575
30.11.1999;V2TX;23.4039
01.12.1999;V2TX;23.6672
02.12.1999;V2TX;23.5439
03.12.1999;V2TX;22.425
06.12.1999;V2TX;22.9538
07.12.1999;V2TX;23.6904
08.12.1999;V2TX;23.5967
09.12.1999;V2TX;23.9505
10.12.1999;V2TX;25.1937
13.12.1999;V2TX;25.8074
14.12.1999;V2TX;26.6982
15.12.1999;V2TX;28.2257
16.12.1999;V2TX;29.6028
17.12.1999;V2TX;29.4312
20.12.1999;V2TX;28.9298
21.12.1999;V2TX;29.4158
22.12.1999;V2TX;28.4172
23.12.1999;V2TX;28.9967
27.12.1999;V2TX;31.9852
28.12.1999;V2TX;31.867
29.12.1999;V2TX;31.5221
